County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
Autauga County, Alabama,14.7,85.3,21.7,7.1,78.8,30043.21365,77.55,17.7,0.4,0.75,1.35,2.2,21.15,8.75,52077,42.3,10.45,0.405,14,29.4,16.35,28.9,0.5,11.2,13.55,36.2,-86.6444901,32.5363818,0.305,0.118,0.139,0.065
Baldwin County, Alabama,12.4,87.6,26.8,8.7,74.95,26630.5654,84.3,9.55,0.6,0.65,1.25,3.65,20.9,5.2,177131,43,12.05,0.439,19.1,31.1,17.4,27.4,0.85,12.35,10.9,41,-87.7460666,30.6592183,0.266,0.118,0.166,0.068
Barbour County, Alabama,28.1,71.9,13.5,6,67.85,20663.4527,47.4,46.5,0.35,0.25,0.9,4.7,37.15,21.3,28560,32.5,24.85,0.464,34.15,26.15,14.9,20.1,2.05,8.95,27.9,38,-85.4054562,31.8706701,0.373,0.142,0.189,0.112
Bibb County, Alabama,25.5,74.5,10,2.6,67.3,26875.00381,75.2,22.5,0.2,0.15,0.6,1.35,21.55,12.4,22189,20.9,12.25,0.411,17.9,20.25,13.55,22.65,0.6,18.05,25,38.3,-87.1271475,33.0158929,0.343,0.111,0.16,0.076
Blount County, Alabama,25.3,74.7,12.5,4.2,72.5,27774.18032,89.15,1.05,0.6,0.3,1.2,7.7,16.95,10.8,57063,29,12.2,0.422,15.8,24.1,16.15,24.8,1.2,15.85,17.9,38.3,-86.5672464,33.9774479,0.304,0.14,0.181,0.062
Bullock County, Alabama,25.3,74.7,12,3.7,69.55,20651.69397,22.05,72.45,0.15,0.25,0.35,4.7,54.35,24.25,10915,51.6,28.8,0.533,50.85,19.05,15.45,23.55,5.15,7.75,29.05,38.7,-85.7172613,32.1017589,0.421,0.175,0.157,0.134
Butler County, Alabama,25.2,74.8,11,3.2,74.35,22321.77111,55.4,42.25,0.25,0.7,0.8,0.65,34.2,21.25,20568,34,23.5,0.463,30.65,21.5,16.85,26.55,2.1,9.6,23.45,39.7,-86.6819689,31.751667,0.383,0.16,0.164,0.109
Calhoun County, Alabama,21.5,78.5,16.1,6.4,74.65,24610.49683,74.65,19.9,0.45,0.75,1.4,2.85,30.4,11.1,115770,37.7,18.5,0.453,25.8,28.3,15.75,23.55,0.45,11.65,20.3,38.1,-85.8225133,33.7717061,0.332,0.139,0.169,0.076
Chambers County, Alabama,28.2,71.8,10.8,3.7,73.85,23437.68032,58.95,37.95,0.2,0.35,1.05,1.45,31.85,14.5,34459,63.2,18.15,0.425,26.1,22.4,14.35,26.15,0.4,12.55,24.15,40.1,-85.3918121,32.9179433,0.354,0.15,0.179,0.093
Cherokee County, Alabama,26.6,73.4,10.5,4.2,68.8,26915.90349,92,5.1,0.55,0.15,1,1.2,20.7,10.45,25208,24.2,16.1,0.439,24.2,24.6,15.55,20.25,1.4,13.25,25,43.9,-85.6542417,34.0695153,0.314,0.136,0.172,0.071
Chilton County, Alabama,24.1,75.9,12.2,4.8,69.25,26935.60413,82.15,10,0.3,0.2,1.1,6.25,27.15,11.95,42957,42.1,17.8,0.451,25.35,22.75,14,23,0.85,18.6,20.75,37.2,-86.7266275,32.8540595,0.383,0.125,0.202,0.065
Choctaw County, Alabama,28.9,71.1,10.9,4.1,78.8,22625.57683,55.25,43.35,0.05,0.1,0.65,0.55,21.95,20.6,14044,56.9,20.75,0.457,28.1,29.05,12.2,20.3,2.55,17.7,18.1,43.2,-88.2488874,31.9910082,0.389,0.173,0.176,0.09
Clarke County, Alabama,23.9,76.1,13.5,4.9,75.6,25995.8473,54.4,42.65,0.9,0.65,0.7,0.75,31.45,24.15,26135,46.5,27.65,0.523,35.65,26.35,13.15,22.2,2.05,11.55,24.75,38.9,-87.8186244,31.6855211,0.36,0.157,0.184,0.121
Clay County, Alabama,28.6,71.4,9.5,3.1,73.95,27404.52222,80.35,14.55,0.35,0.1,1.95,2.8,28.85,16,13850,55.3,18.25,0.421,21.4,23,11.95,17.65,3.15,15.9,28.35,41.3,-85.862051,33.2678085,0.353,0.147,0.192,0.093
Cleburne County, Alabama,29.7,70.3,8.4,3.7,71.1,21506.56953,92.7,4.35,0.35,0.1,1,1.55,15.7,15.05,14775,58.7,16.75,0.424,21.45,23.6,15.6,19.65,2.45,17.2,21.55,40.1,-85.516109,33.671981,0.313,0.133,0.167,0.069
Coffee County, Alabama,20.7,79.3,22.1,8.5,71.15,26346.66,73.3,17.25,0.95,1.15,2.1,5.25,26.6,13.4,48375,30.8,16.65,0.452,25.7,31.6,13.2,24.35,2,12.65,16.2,37.9,-85.9892014,31.4021833,0.299,0.126,0.173,0.062
Colbert County, Alabama,19.9,80.1,16.4,5.9,74.75,25896.27111,80,16,0.5,0.4,1.35,1.8,28.7,9.2,54487,30.9,14.85,0.435,21.65,27.55,14.9,26.95,0.5,11.45,18.6,41.6,-87.8014569,34.703112,0.322,0.137,0.15,0.076
Conecuh County, Alabama,28.7,71.3,9.7,4.3,73.5,22600.38349,52.7,45.3,0.45,0.05,0.75,0.7,50.25,19.95,13171,32.5,29.8,0.484,45.95,23.7,15.3,24.7,1.2,11.5,23.55,43.4,-86.9920291,31.4282925,0.363,0.177,0.19,0.116
Coosa County, Alabama,26.9,73.1,10.6,4.8,70.05,23083.6273,66.1,31.65,0.15,0.05,0.9,1.05,30.1,17.25,11158,25.6,18.05,0.443,23.4,19.55,18.2,21.65,1.45,12.6,26.5,43.8,-86.2434818,32.9314453,0.343,0.156,0.161,0.082
Covington County, Alabama,23.5,76.5,13.1,4.8,73.6,21645.97937,84.25,12.45,0.55,0.4,1.15,1.2,34.95,12.45,37226,46.2,18.55,0.475,28.5,24.8,14.65,24,2.65,14.15,19.75,42.1,-86.4487206,31.2439873,0.338,0.137,0.177,0.075
Crenshaw County, Alabama,26.3,73.7,10.1,3.9,78.6,22051.82699,72.25,22.5,0.5,2.2,1.3,1.3,32.15,17.6,13796,29.9,19.8,0.466,28.15,27.15,15.55,22.1,3.4,11.85,19.95,39.5,-86.3192219,31.7328256,0.357,0.148,0.192,0.072
