County;Less Than High School Diploma;At Least High School Diploma;At Least Bachelors's Degree;Graduate Degree;School Enrollment;Median Earnings 2010;White (Not Latino) Population;African American Population;Native American Population;Asian American Population;Other Race or Races;Latino Population;Children Under 6 Living in Poverty;Adults 65 and Older Living in Poverty;Total Population;Preschool.Enrollment.Ratio.enrolled.ages.3.and.4;Poverty.Rate.below.federal.poverty.threshold;Gini.Coefficient;Child.Poverty.living.in.families.below.the.poverty.line;Management.professional.and.related.occupations;Service.occupations;Sales.and.office.occupations;Farming.fishing.and.forestry.occupations;Construction.extraction.maintenance.and.repair.occupations;Production.transportation.and.material.moving.occupations;Median Age;lon;lat;Adult.obesity;Diabetes;Uninsured;Unemployment
Haines Borough, Alaska;6.0;94.0;33.1;11.7;85.9;21968.40254;82.95;0.4;7.7;0.25;6.2;2.55;12.6;0.0;2466;100.0;5.9;0.41000000000000003;8.05;40.8;19.1;16.45;2.2;12.3;9.1;49.6;-135.5781024;59.0999054;0.296;0.083;0.28200000000000003;0.081
Red Willow County, Nebraska;8.3;91.7;21.6;6.2;72.9;20965.324125;94.15;0.45;0.25;0.4;0.9;3.9;15.45;4.05;10905;50.8;9.75;0.4;10.8;26.85;18.45;26.65;2.0;9.5;16.6;42.9;-100.4685764;40.1694196;0.302;0.097;0.129;0.033
Del Norte County, California;18.7;81.3;14.3;4.3;73.2;23797.859685;66.05;3.4;5.6;3.1;4.95;16.95;38.75;8.8;28669;58.1;20.7;0.448;31.3;28.0;29.9;24.45;3.5;7.05;7.05;37.9;-123.9809983;41.7499033;0.255;0.088;0.17300000000000001;0.134
Duval County, Florida;12.8;87.2;24.9;8.0;73.85;30197.95873;58.0;28.85;0.30000000000000004;3.8;2.25;6.85;20.95;9.95;855324;53.9;13.75;0.45;19.55;32.95;16.65;30.0;0.1;9.8;10.45;35.4;-81.6481132;30.3352449;0.28400000000000003;0.108;0.193;0.088
Ellsworth County, Kansas;9.4;90.6;19.8;6.1;72.15;24146.331745;88.9;3.9;0.35000000000000003;0.45;1.6;4.8;6.1;14.6;6372;47.4;8.35;0.403;5.0;33.2;21.85;16.9;1.8;12.3;13.95;42.9;-98.2053552;38.7008451;0.34;0.10200000000000001;0.138;0.033
Cumberland County, Kentucky;29.5;70.5;7.9;3.7;71.2;18503.494605;94.7;2.95;0.05;0.05;1.25;1.0;28.1;23.9;6844;0.0;25.75;0.419;38.25;25.05;17.6;22.1;1.3;14.75;19.15;42.9;-85.3934992;36.7842273;0.342;0.133;0.202;0.108
Presque Isle County, Michigan;14.7;85.3;14.3;4.7;76.55;21330.295555;97.05;0.30000000000000004;0.7000000000000001;0.2;1.0;0.75;18.9;7.15;13559;42.5;12.0;0.402;16.6;25.95;17.6;23.7;3.65;13.85;15.1;50.5;-83.3840186;45.4895147;0.333;0.135;0.162;0.14
Webster County, Missouri;17.8;82.2;14.7;5.5;68.8;23517.57397;95.0;1.05;0.6000000000000001;0.15;1.5;1.7000000000000002;34.05;12.3;35918;25.2;17.85;0.405;26.15;23.45;13.0;27.35;0.85;15.75;19.6;37.1;-92.8760795;37.2808043;0.322;0.111;0.219;0.069
Hamilton County, Illinois;19.2;80.8;12.7;5.6;71.2;21976.02984;97.2;0.2;0.15;0.1;0.85;1.5;32.75;8.4;8321;42.4;12.95;0.458;19.2;26.8;18.1;19.45;0.2;12.2;23.25;42.3;-88.5390048;38.085226;0.291;0.098;0.136;0.078
Monroe County, Illinois;9.0;91.0;24.7;8.4;82.95;36472.25397;97.0;0.30000000000000004;0.2;0.35000000000000003;0.9;1.35;6.3;2.25;32657;62.1;4.25;0.386;4.1;33.9;16.25;25.75;0.30000000000000004;12.85;11.0;40.1;-90.1790777;38.2779831;0.293;0.094;0.082;0.07
